formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
TiSnPd2,cF16,Fm-3m,mp-865679,464113,-0.8146,-0.6071031,-0.63046599
ZrAlPd2,cF16,Fm-3m,mp-541047,10557,-0.8841,-0.80610144,-0.80304897
ZrGaPd2,cF16,Fm-3m,mp-972183,463371,-0.7898,-0.7250792,-0.7232613
ZrInPd2,cF16,Fm-3m,mp-977475,463998,-0.882,-0.70439622,-0.69578426
ZrSnPd2,cF16,Fm-3m,mp-977568,463248,-0.9556,-0.73463303,-0.75081076
Pt2MnGa,,,,,-0.5814,,
Ru2FeAl,cP2,Pm-3m,,,-0.2767,,
Ru2FeSi,cP2,Pm-3m,,,-0.2954,,
Ru2FeGe,cF16,Fm-3m,mp-865191,503820,-0.2042,-0.15887265,-0.15820987
Ru2HfAl,cP2,Pm-3m,,,-0.7338,,
HfSnRu2,cF16,Fm-3m,mp-866219,502278,-0.2581,-0.64140667,-0.65579414
Ru2MnAl,cP2,Pm-3m,,,-0.3348,,
MnGaRu2,cF16,Fm-3m,mp-865140,502362,-0.2622,-0.25646363,-0.25392933
MnSiRu2,cF16,Fm-3m,mp-864966,502597,-0.4768,-0.46129678,-0.46449838
MnGeRu2,cF16,Fm-3m,mp-864936,503606,-0.3078,-0.26656891,-0.26434723
MnSnRu2,cF16,Fm-3m,mp-864971,503527,-0.2114,-0.11616176,-0.13254978
Ru2TiAl,cP2,Pm-3m,,,-0.6498,,
TiSiRu2,cF16,Fm-3m,mp-865681,502620,-0.9836,-0.89107675,-0.9041485
TiGeRu2,cF16,Fm-3m,mp-865640,503536,-0.8198,-0.69907969,-0.71557854
TiSnRu2,cF16,Fm-3m,mp-865888,503388,-0.6281,-0.58413435,-0.6117019
Ru2VAl,cP2,Pm-3m,,,-0.3203,,
VSiRu2,cF16,Fm-3m,mp-865507,502753,-0.5794,-0.56948287,-0.56545621
VGeRu2,cF16,Fm-3m,mp-865585,503010,-0.3327,-0.35868372,-0.33464862
VSnRu2,cF16,Fm-3m,,504149,-0.2187,,-0.190743
Ru2ZrAl,cP2,Pm-3m,,,-0.6685,,
Sc5Pb3,hP16,P63/mcm,mp-510209,,-0.6353,-0.47463249,
PbTi4,hP8,P63/mmc,,,-0.172,,
Y5Pb3,hP16,P63/mcm,,30931,-0.6716,,-0.59163632
Zr5Pb3,hP16,P63/mcm,mp-681992,,-0.5244,-0.14045965,
Nb3Pb,cP8,Pm-3n,mp-22068,17740,-0.1078,0.13181374,0.11097907
RhPb,hP6,P6/mmm,mp-442,,-0.171,-0.09252528,
Pd3Pb,cP4,Pm-3m,mp-20849,7834,-0.3068,-0.30894702,-0.29965135
PtPb,hP4,P63/mmc,mp-21380,669812,-0.3596,0.02424395,0.07791212
CuSnRh2,cF16,Fm-3m,mp-30595,17162,-0.3016,-0.35656496,-0.38480311
Rh2FeAl,cP2,Pm-3m,,,-0.5027,,
Rh2FeGa,cP2,Pm-3m,,,-0.3223,,
FeSnRh2,tI8,I4/mmm,mp-1018062,,-0.2995,-0.305515,
Rh2MnAl,cP2,Pm-3m,,,-0.7504,,
Rh2MnGa,cP2,Pm-3m,,,-0.5731,,
Rh2MnIn,cP2,Pm-3m,,,-0.3659,,
MnGeRh2,cF16,Fm-3m,mp-4664,647271,-0.57,-0.44292375,-0.44947884
MnSnRh2,cF16,Fm-3m,mp-4990,17688,-0.4156,-0.44010532,-0.46709352
Rh2TiAl,cP2,Pm-3m,,,-1.0116,,
Rh2TiGa,cP2,Pm-3m,,,-0.8188,,
Rh2TiSn,tI8,I4/mmm,,,-0.7742,,
VSnRh2,tI8,I4/mmm,mp-669918,18063,-0.4643,-0.41636787,-0.43863856
VGaNi2,cF16,Fm-3m,mp-30658,17275,-0.2228,-0.28814787,-0.28700053
VNi2Sn,cF16,Fm-3m,mp-20864,17820,-0.2508,-0.1140145,-0.1417274
VFe2Sn,cF16,Fm-3m,mp-636359,17233,-0.0383,0.04401775,-0.01862392
Fe2VAl,cP2,Pm-3m,,,-0.2487,,
Fe2NiAl,cP2,Pm-3m,,,-0.3203,,
Fe2CuAl,cP2,Pm-3m,,,-0.2425,,
Fe2MnAl,cP2,Pm-3m,,,-0.0943,,
Mn2RuSi,,,,,-0.3835,,
Mn2SnRu,cF16,F-43m,mp-999557,,-0.1803,0.07886879,
Mn0.2Ni0.55Sn0.25,cF16,Fm-3m,,,-0.2757,,
Mn0.30Ni0.45Sn0.25,cF16,Fm-3m,,,-0.285,,
Mn0.35Ni0.4Sn0.25,cF16,Fm-3m,,,-0.2757,,
Mn3Ni5Sn2,cF16,Fm-3m,,,-0.2176,,
Mn0.35Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2083,,
TiGaNi2,cF16,Fm-3m,mp-30657,17273,-0.4405,-0.53975432,-0.56136537
TiInNi2,cF16,Fm-3m,mp-22463,55528,-0.2954,-0.34461536,-0.36462902
TiNi2Sn,cF16,Fm-3m,mp-3740,17816,-0.485,-0.43329163,-0.47901202
MnAlIr2,cF16,Fm-3m,mp-864950,458527,-0.6716,-0.57404936,-0.5817824
MnGaIr2,cF16,Fm-3m,mp-865088,457980,-0.2218,-0.33127356,-0.34589253
InMnPt2,,,,,-0.484,,
CuInRh2,cP2,Pm-3m,,,-0.2322,,
MnSnAu,cF12,F-43m,mp-22027,647441,-0.5016,-0.0448774,-0.07865257
TiCoSn,cF12,F-43m,mp-20453,860363,-0.4415,0.31134766,-0.37599542
MnGaIr,cF12,F-43m,,684862,-0.4239,,0.06719219
MnSnIr,cF12,F-43m,mp-11480,17497,-0.3047,0.29446035,0.2571392
ZrSnIr,hP18,P-62c,mp-607139,24958,-0.9235,-0.73836035,-0.77341546
HfNiSn,cF12,F-43m,mp-924128,667584,-0.6488,-0.63230214,0.13071924
TiNiSn,cF12,F-43m,mp-924130,115027,-0.5452,-0.52801859,-0.58058168
ZrNiSn,cF12,F-43m,mp-924129,676556,-0.7214,-0.68398515,-0.71904526
HfSnPd,cF12,F-43m,mp-11869,18376,-0.7089,-0.72360596,-0.7517317
PdSnZr,cP2,Pm-3m,,,-0.8975,,
HfSnPt,cF12,F-43m,mp-20889,566182,-1.024,-0.27783584,-1.01509825
MnGaPt,hP6,P63/mmc,mp-569151,17256,-0.6084,-0.45781977,-0.4582049
MnSnPt,cF12,F-43m,mp-21418,17683,-0.5783,-0.33896264,-0.36926039
TiSnPt,cF12,F-43m,mp-30847,18005,-0.9701,-0.83028347,-0.87088914
ZrSnPt,cF12,F-43m,mp-961713,566429,-1.0872,-1.02254305,-1.05425069
Co0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.1969,,
Co0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.1855,,
Co0.75Ni1.25MnSn,cF16,Fm-3m,,,-0.2259,,
CoNiMnSn,cF16,Fm-3m,,,-0.2094,,
Co1.25Ni0.25MnSn,cF16,Fm-3m,,,-0.2197,,
Co0.375Mn0.25Ni0.125Sn0.25,cF16,Fm-3m,,,-0.2384,,
Co1.75Ni0.25MnSn,cF16,Fm-3m,,,-0.2581,,
Ni2Mn0.25Ti0.75Sn,cF16,Fm-3m,,,-0.4353,,
Ni2Mn0.5Ti0.5Sn,cF16,Fm-3m,,,-0.3451,,
Ni2Mn0.75Ti0.25Sn,cF16,Fm-3m,,,-0.3451,,
Ni0.25Pd1.75MnSn,cF16,Fm-3m,,,-0.5369,,
Mn0.25Ni0.125Pd0.375Sn0.25,cF16,Fm-3m,,,-0.4871,,
Mn0.25Ni0.1875Pd0.3125Sn0.25,cF16,Fm-3m,,,-0.4394,,
NiPdMnSn,cF16,F-43m,,,-0.3887,,
Mn0.25Ni0.3125Pd0.1875Sn0.25,cF16,Fm-3m,,,-0.3192,,
Mn0.25Ni0.375Pd0.125Sn0.25,cF16,Fm-3m,,,-0.2985,,
Mn0.25Ni0.4375Pd0.0625Sn0.25,cF16,Fm-3m,,,-0.2985,,
In0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2353,,
In0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2643,,
In0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.2104,,
In0.2Mn0.25Ni0.5Sn0.05,cF16,F-43m,,,-0.2674,,
Al0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2684,,
Al0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2954,,
Al0.15Mn0.25Ni0.5Sn0.1,cP2,Pm-3m,,,-0.3337,,
Al0.2Mn0.25Ni0.5Sn0.05,cP2,Pm-3m,,,-0.3296,,
Ni2Mn0.2V0.8Sn,cF16,Fm-3m,,,-0.284,,
Ni2Mn0.4V0.6Sn,cF16,Fm-3m,,,-0.2964,,
Mn0.15Ni0.5Sn0.25V0.1,cF16,Fm-3m,,,-0.3285,,
Mn0.2Ni0.5Sn0.25V0.05,cF16,Fm-3m,,,-0.2415,,
Fe0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.2612,,
Fe0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.2757,,
Fe0.75Ni1.25MnSn,cF16,Fm-3m,,,-0.1814,,
FeNiMnSn,cF16,Fm-3m,,,-0.1057,,
Cu0.25Ni1.75MnSn,cF16,Fm-3m,,,-0.2384,,
Cu0.125Mn0.25Ni0.375Sn0.25,cF16,Fm-3m,,,-0.2881,,
Fe0.1875Mn0.25Ni0.3125Sn0.25,cF16,Fm-3m,,,-0.2747,,
CuNiMnSn,cF16,Fm-3m,,,-0.2633,,
Cu0.3125Mn0.25Ni0.1875Sn0.25,cF16,Fm-3m,,,-0.2881,,
Cu0.375Mn0.25Ni0.125Sn0.25,cF16,Fm-3m,,,-0.2747,,
Cu1.75Ni0.25MnSn,cF16,Fm-3m,,,-0.2757,,
Ge0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2218,,
Ge0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2829,,
Ge0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.2498,,
Ge0.2Mn0.25Ni0.5Sn0.05,cF16,Fm-3m,,,-0.3389,,
Ni2MnSi0.2Sn0.8,cF16,Fm-3m,,,-0.2446,,
Ga0.05Mn0.25Ni0.5Sn0.2,cF16,Fm-3m,,,-0.2477,,
Ga0.1Mn0.25Ni0.5Sn0.15,cF16,Fm-3m,,,-0.2995,,
Ga0.15Mn0.25Ni0.5Sn0.1,cF16,Fm-3m,,,-0.3078,,
Ga0.2Mn0.25Ni0.5Sn0.05,cF16,Fm-3m,,,-0.2892,,
Ce5Pb3,hP16,P63/mcm,,690179,-0.7835,,-0.5320109
Pr5Pb3,hP16,P63/mcm,,,-0.8001,,
Nd5Pb3,hP16,P63/mcm,,30804,-0.7773,,-0.54425795
Sm5Pb3,hP16,P63/mcm,,,-0.7929,,
Gd5Pb3,hP16,P63/mcm,,30399,-0.798,,-0.55242522
Tb5Pb3,hP16,P63/mcm,,30923,-0.7379,,-0.13671797
Dy5Pb3,hP16,P63/mcm,mp-569760,29904,-0.7887,-0.54462748,-0.54011757
Ho5Pb3,hP16,P63/mcm,mp-30730,17466,-0.7452,-0.53146096,-0.53073424
Er5Pb3,hP16,P63/mcm,,30023,-0.7794,,-0.5183237
Tm5Pb3,hP16,P63/mcm,,30928,-0.7939,,-0.49914195
Lu5Pb3,hP16,P63/mcm,,30697,-0.7752,,-0.46361792
Li17Sn4,cF420,F-43m,mp-573471,22905,-0.4156,-0.34836755,-0.35750635
AgCa3,oS36,Cmcm,,,-0.1223,,
Cu2NiSn,cF16,Fm-3m,mp-4367,19462,-0.1461,0.04125642,0.00643917
Cu0.6Ni0.15Sn0.25,cF16,Fm-3m,,,-0.1213,,
Cu0.4Ni0.35Sn0.25,cF16,Fm-3m,,,-0.1679,,
Cu0.3Ni0.45Sn0.25,cF16,Fm-3m,,,-0.1897,,
Cu0.12Ni0.63Sn0.25,oS12,Cmcm,,,-0.2239,,
Cu0.05Ni0.7Sn0.25,hP8,P63/mmc,,,-0.2415,,
Cu0.3Ni0.29Sn0.41,hP6,P63/mmc,,,-0.229,,
Cu0.2Ni0.39Sn0.41,hP6,P63/mmc,,,-0.2705,,
Cu0.1Ni0.49Sn0.41,hP6,P63/mmc,,,-0.2995,,
Cu0.275Ni0.27Sn0.455,hP6,P63/mmc,,,-0.1886,,
Cu0.375Ni0.17Sn0.455,hP6,P63/mmc,,,-0.1679,,
FeGe,hP6,P6/mmm,mp-22478,647200,-0.1613,-0.12579344,-0.12767187
FeGe2,tI12,I4/mcm,mp-21117,7790,-0.3823,-0.06049156,-0.06497736
AlLi,cF16,Fd-3m,mp-1067,2012,-0.2145,-0.17935152,-0.1861232
AlLi,cF16,Fd-3m,mp-1067,2012,,-0.17935152,-0.1861232
Al2Li3,hR15,R-3m,mp-16506,10488,-0.198,-0.18145293,-0.19199537
Al4Li9,mS26,C12/m1,mp-568404,,-0.1565,-0.15599208,
SmMg,cP2,Pm-3m,mp-2558,90153,-0.1917,-0.10785642,-0.1044123
SmMg2,cF24,Fd-3m,mp-529,17651,-0.1658,-0.09464138,-0.09422897
SmMg3,cF16,Fm-3m,mp-30779,17652,-0.1244,-0.110229,-0.10948037
Mg5Sm,cF448,F-43m,,,-0.0881,,
Mg41Sm5,tI92,I4/m,,,-0.057,,
Ni3Ge,cP4,Pm-3m,mp-21008,17342,,-0.2918224,-0.29969984
Ge3Ni5,hP6,P63/mmc,,,,,
Ge2Ni3,hP6,P63/mmc,,,,,
NiGe,oP8,Pnma,mp-1099,646855,,-0.30645184,-0.31421743
AlNd3,hP8,P63/mmc,,,-0.3131,,
NbCr2,cF24,Fd-3m,mp-548,19373,-0.0301,-0.03087492,-0.04063231
NbFe2,hP12,P63/mmc,mp-568901,30227,-0.141,-0.12231512,-0.12212013
