mpid,PF_n,PF_p,S_n,S_p,formula,m_n,m_p
mp-743950,0.139,0.0473,-684.0,706.0,CrSb2H12(C2O)4,19.5,95.4
mp-555770,0.89,0.0257,-404.0,826.0,RbH4SNO4,0.517,36.8
mp-560188,0.895,0.192,-540.0,819.0,Ba4NaAuO8,63.3,64.1
mp-761897,0.137,0.113,-720.0,781.0,LiCuF3,10.7,22.9
mp-13791,0.905,0.0342,-386.0,721.0,BaNaNd(SiO3)3,0.464,18.9
mp-18420,0.696,0.262,-340.0,429.0,Er3CrS6,0.518,1.24
mp-6189,0.0395,0.0707,-745.0,690.0,CaSi4CuO10,396.0,139.0
mp-4051,0.879,0.159,-419.0,642.0,AlPO4,0.564,3.13
mp-560077,0.396,0.0507,-615.0,745.0,AsSXe2(OF3)3,4.91,60.4
mp-530262,0.20299999999999999,0.216,-721.0,757.0,Li15Cr2N9,16.7,10.8
mp-4727,1.25,0.484,-491.0,574.0,Ba(SbSe2)2,1.4,4.25
mp-772295,0.815,0.387,-628.0,685.0,TmClO,103.0,3.0
mp-677780,0.934,0.174,-405.0,706.0,Ca2MgSi2O7,0.495,3.98
mp-643265,0.108,0.0106,-848.0,829.0,ReF7,22.3,468.0
mp-28011,1.18,0.403,-373.0,617.0,Tl2Sn2S3,0.439,2.0
mp-560293,0.85,0.212,-502.0,681.0,LiLa5Ti8O24,1.58,3.4
mp-568252,0.445,0.0256,-650.0,775.0,Rb2Hg2PdCl8,39.9,70.2
mp-15599,0.818,0.00983,-406.0,784.0,K2Ca2(SO4)3,0.568,47.3
mp-557452,0.601,0.103,-605.0,783.0,Mg(IO3)2,2.01,10.8
mp-761297,0.0402,0.041,102.0,147.0,Na5LiCo2P2(CO7)2,17.8,17.3
mp-752460,0.486,0.24,-545.0,700.0,LiAgF4,1.75,56.0
mp-776214,0.801,0.302,-451.0,643.0,Hf2N2O,0.735,2.51
mp-764794,0.137,0.159,65.2,179.0,Li2Mn2F7,10.8,9.32
mp-20938,1.13,0.177,-269.0,658.0,RbIn5S8,0.183,2.52
mp-7738,0.889,0.394,-398.0,589.0,LaSeF,0.515,1.16
mp-6978,1.39,0.39,-536.0,761.0,RbHoO2,0.586,2.33
mp-762336,0.142,0.0201,-698.0,768.0,LiSb(PO3)4,11.9,95.2
mp-568536,0.865,0.24,-419.0,743.0,BaI2,0.572,2.09
mp-7650,1.22,0.284,-553.0,764.0,RbScO2,0.705,3.2
mp-22982,1.7,0.353,-544.0,629.0,CuBiS2,0.624,2.55
mp-557183,1.01,0.087,-348.0,735.0,KNaZnO2,0.341,4.27
mp-557637,0.603,1.6,-580.0,434.0,Hg2SeO3,2.6,0.748
mp-540203,0.0294,0.0272,-724.0,788.0,LiCo2P3O10,80.0,64.2
mp-10560,0.546,0.438,-590.0,652.0,Sm3AuO6,3.51,2.52
mp-409,1.7,0.456,-471.0,618.0,NaS,1.71,1.98
mp-6952,0.914,0.139,-398.0,901.0,YbRbF3,0.489,3.22
mp-9323,0.902,0.511,-379.0,501.0,Tb2S3,0.461,1.1
mp-867153,0.903,0.00923,-408.0,779.0,Rb2MgP4(HO2)8,0.521,59.0
mp-620058,1.06,0.672,-520.0,524.0,PbN6,0.881,1.61
mp-3889,0.897,0.266,-420.0,597.0,NaBO2,0.586,3.35
mp-1125,1.05,0.949,-582.0,606.0,Li2S,1.11,1.34
mp-3552,0.94,0.0777,-424.0,787.0,Li2Si2O5,0.541,6.74
mp-754665,0.848,0.428,-637.0,659.0,Pb(BrO3)2,2.31,3.01
mp-20495,0.835,0.217,-429.0,654.0,Na2CO3,0.623,9.23
mp-867938,0.833,0.0313,-434.0,833.0,SnH6(NF2)2,0.638,17.6
mp-555318,0.92,0.0605,-385.0,744.0,K2Zn(SiO3)2,0.454,9.78
mp-554573,0.886,0.103,-420.0,727.0,SiO2,0.56,5.11
mp-765444,0.821,0.852,0.518,20.7,LiSi2NiO6,0.208,0.209
mp-8725,1.39,1.35,-563.0,503.0,HfSnS3,13.1,0.867
mp-551267,0.873,0.0193,-408.0,785.0,Rb4CO4,0.537,60.7
mp-36165,1.05,0.0709,-345.0,698.0,Na10Zn4O9,0.321,10.8
mp-1413,1.07,2.27,-539.0,518.0,P2Ru,1.0,0.369
mp-773351,0.0946,0.526,-686.0,592.0,NaLi5Mn2P2(CO7)2,565.0,53.7
mp-543056,0.72,0.0336,-489.0,743.0,Mg7As6(HO6)4,1.16,40.6
mp-7611,0.92,0.137,-398.0,725.0,Li2CaGeO4,0.493,3.26
mp-556419,0.0666,0.157,-849.0,781.0,ReO2F3,37.4,94.4
mp-16764,1.53,1.26,-543.0,543.0,RbYTe2,0.553,7.41
mp-755340,1.07,0.854,-492.0,576.0,Tb2SeO2,0.655,1.67
mp-3582,1.34,1.37,-577.0,583.0,Mg(BC)2,0.829,4.71
mp-776836,0.291,0.327,-678.0,694.0,BeCrO4,8.61,4.46
mp-4527,0.84,0.155,-428.0,791.0,Li8SnO6,0.619,4.0
mp-20470,0.066,1.2,-844.0,608.0,Gd2O3,31.4,1.91
mp-735488,0.114,0.0887,-762.0,742.0,RbNa3Mo2H18O17,57.5,28.0
mp-865716,0.972,0.166,-374.0,597.0,YbCl2,0.41,2.39
mp-760432,4.57,4.5,-200.0,-199.0,Cu2O3,0.031,0.0315
mp-25172,1.27,0.247,-563.0,783.0,Ba3WO6,0.703,3.62
mp-569461,0.3,0.148,-728.0,754.0,HgN6,5.73,21.5
mp-28582,0.643,0.26,-605.0,783.0,CsB3H8,1.95,16.7
mp-559786,0.888,0.36,-522.0,706.0,NaAs4BrO6,1.66,35.8
mp-8255,0.316,0.185,-833.0,850.0,CaPtF6,6.21,10.8
mp-606691,0.00225,0.301,-1000.0,721.0,KU2P3O14,1370.0,20.9
mp-25173,0.866,1.1,-619.0,634.0,MgPb2WO6,1.25,0.978
mp-686526,0.913,0.0803,-409.0,742.0,NaCaAlSi2O7,0.522,7.76
mp-16025,0.325,0.111,-710.0,733.0,Y2(SO4)3,5.27,13.9
mp-650228,0.387,0.197,-710.0,742.0,KIn(MoO4)2,12.4,9.73
mp-3372,0.909,0.0287,-393.0,782.0,Rb2SO4,0.48,20.0
mp-753731,0.697,0.389,-525.0,567.0,Ba2CaI6,1.63,2.0
mp-29467,0.197,0.163,-688.0,713.0,P4(SeO2)3,7.44,10.1
mp-37436,0.794,0.0634,-440.0,812.0,Li7SbO6,0.69,9.57
mp-683501,0.519,0.0495,-536.0,826.0,Cr(CO)6,1.73,20.5
mp-7792,0.704,1.58,-620.0,484.0,YScS3,1.83,1.3
mp-557917,0.443,0.00126,-563.0,772.0,SbI(OF4)2,2.04,1390.0
mp-771256,0.891,0.0316,-390.0,774.0,Sr3(AsO4)2,0.481,222.0
mp-32012,0.634,0.187,-581.0,653.0,LiMn2(PO4)3,2.14,7.12
mp-769266,0.169,0.09519999999999999,-718.0,771.0,Ca3Ta2O8,9.54,15.2
mp-981,0.899,0.169,-409.0,825.0,SrF2,0.525,2.8
mp-3470,0.982,0.0569,-386.0,721.0,MgSiO3,0.429,11.1
mp-8753,1.03,0.0762,-328.0,736.0,K4HgP2,0.3,6.33
mp-733932,0.959,0.176,-397.0,651.0,InH5(NF)2,0.464,9.25
mp-780259,0.724,0.092,-482.0,753.0,Li5LaO4,0.913,7.46
mp-32542,1.5,1.3,-574.0,513.0,Hg2WO4,1.58,0.856
mp-1340,1.08,0.248,-254.0,562.0,Ga2Se3,0.17,2.47
mp-571662,0.394,0.39,-676.0,671.0,KLa(PSe3)2,3.65,4.78
mp-765003,0.025,0.159,-844.0,736.0,Li2MnF6,192.0,25.0
mp-754494,0.0188,0.346,-734.0,665.0,BaLaBr5,1290.0,9.6
mp-769383,0.445,0.236,-640.0,701.0,RbB3Te2O9,3.24,6.67
mp-865975,0.416,0.167,-711.0,747.0,KNd(SO4)2,11.5,50.6
mp-676128,0.0533,0.0108,-594.0,689.0,Si3NCl9,57.5,237.0
mp-7979,0.36,0.227,-773.0,797.0,K2PdF6,28.9,9.25
mp-21533,0.115,0.0937,-676.0,702.0,CuP2PbO7,56.2,20.5
mp-21723,0.911,0.356,-585.0,647.0,SiPbO3,1.82,5.64
mp-28473,0.508,0.0464,-558.0,855.0,CClF3,2.13,47.4
mp-754929,1.12,0.0507,-301.0,692.0,Ga3NO3,0.23,73.7
mp-780237,0.823,0.0376,-432.0,725.0,Li3Cu3(PO4)2,0.651,41.0
mp-770735,0.395,0.514,-702.0,658.0,ZnCrO4,5.74,4.97
mp-555825,0.887,0.0347,-406.0,772.0,Na4Sc2Si4O13,0.525,44.4
mp-29792,0.831,1.48,-614.0,447.0,CaNb2O4,1.38,0.744
mp-22908,0.79,0.158,-482.0,727.0,BiCl3,1.04,5.73
mp-560904,0.949,0.175,-399.0,611.0,CdHg2SO6,0.515,2.77
mp-776710,0.0566,0.155,-808.0,762.0,LiFeF4,33.6,13.3
mp-7337,0.522,0.0837,-689.0,782.0,NdAl3(BO3)4,3.94,29.1
mp-18961,0.379,0.402,-714.0,673.0,ScCrO3,6.21,3.75
mp-768633,0.00335,0.249,-871.0,732.0,Sr2LaCl7,725.0,11.1
mp-769289,0.921,0.126,-362.0,715.0,Y2Hg2O5,0.404,3.18
mp-12637,1.78,0.49,-659.0,745.0,Ba2NdNbO6,0.687,2.5
mp-3595,0.884,0.16,-146.0,429.0,ZnSiAs2,0.068,0.428
mp-677482,0.219,0.171,-605.0,652.0,LaAl2Si5N9O,6.05,27.7
mp-752575,0.585,0.606,-554.0,613.0,BaSrI4,6.25,142.0
mp-685928,0.000186,0.122,-665.0,698.0,Rb5Tc3S7,7670.0,16.3
mp-17719,0.691,0.377,-571.0,637.0,La3SiAgS7,1.72,3.18
mp-707961,0.0702,0.0104,-639.0,799.0,KB3(H3O4)2,31.8,284.0
mp-754354,0.895,0.0156,-414.0,837.0,Ba4OF6,0.54,58.2
mp-27315,0.247,0.321,-840.0,844.0,CaTiF6,8.04,6.19
mp-761569,0.373,0.132,-555.0,682.0,Li2MnP2O7,7.74,15.2
mp-769995,0.398,0.112,-658.0,785.0,VSO4,3.39,15.2
mp-684609,0.857,0.116,-444.0,796.0,HCl,0.746,5.44
mp-778554,0.266,0.121,-663.0,699.0,Li2MnF4,410.0,13.9
mp-556812,0.902,0.254,-392.0,565.0,SiO2,0.482,2.02
mp-19296,0.246,0.14,-662.0,743.0,SrVSi2O7,541.0,1020.0
mp-18807,0.603,0.725,-719.0,606.0,V2Zn2O7,3.09,2.62
mp-3032,0.863,0.00733,-426.0,905.0,RbBF4,0.594,70.2
mp-677613,0.834,0.47,-417.0,575.0,Ba3Si3N5ClO,0.591,2.73
mp-541989,0.8119999999999999,0.159,-446.0,762.0,Na2CN2,0.725,3.74
mp-560023,0.173,0.0628,-755.0,745.0,NiSnF6,9.42,25.5
mp-703542,0.0629,0.0419,-790.0,779.0,CdH8(NO5)2,28.9,57.3
mp-510328,0.909,0.52,-600.0,591.0,NaCu5C6,1.36,2.47
mp-14715,0.169,0.00892,-651.0,843.0,Pr2Au5F21,9.1,160.0
mp-30373,2.02,2.3,-448.0,306.0,RbAu,0.279,0.245
mp-18651,0.291,0.324,-794.0,769.0,Sr3DyRhO6,6.3,5.56
mp-686617,0.681,0.0475,-472.0,628.0,Nd10Si10N17ClO9,1.01,24.3
mp-557619,1.22,0.248,-252.0,553.0,Bi14Te13S8,0.201,0.725
mp-770033,0.62,0.137,-571.0,655.0,K3NiPCO7,70.8,567.0
mp-31578,0.427,0.0199,-513.0,795.0,Rb3CoO2,2.07,110.0
mp-27452,0.0316,0.0257,-745.0,741.0,Al2PdCl8,61.8,151.0
mp-643002,1.43,0.20299999999999999,-614.0,874.0,Mg2H6Os,0.743,5.23
mp-622557,0.0493,0.0331,-746.0,695.0,Ca3Co(SeO3)4,138.0,72.1
mp-777085,0.297,0.073,-590.0,759.0,Li4Ni(BO3)2,3.98,36.9
mp-530571,1.06,0.0203,-366.0,831.0,Na4Sn3O8,0.357,18.7
mp-31039,0.682,0.0231,-466.0,720.0,Rb6Te2O9,0.899,34.5
mp-698366,0.0769,0.374,-666.0,699.0,ZnH10C4(N2O3)2,19.7,164.0
mp-555508,0.929,0.296,-390.0,639.0,Ca11Si4SO18,0.462,62.8
mp-21099,0.91,0.276,-609.0,743.0,K2Pb(SO4)2,1.23,8.18
mp-30993,0.694,0.822,-520.0,650.0,LaIO,15.9,1.27
mp-33508,0.656,0.217,-637.0,770.0,TaGaO4,2.76,7.31
mp-438,1.04,0.542,-386.0,603.0,Nd2S3,0.404,0.897
mp-558571,0.443,0.32,-569.0,662.0,Sc2Te5O13,2.34,3.75
mp-28349,0.131,0.0983,-792.0,794.0,H2NO2,23.8,36.5
mp-23307,0.0435,0.0892,-722.0,676.0,NbCl5,57.7,26.1
mp-3466,0.948,0.443,-551.0,720.0,PrAlO3,0.903,1.94
mp-762326,0.0587,0.166,-748.0,711.0,Li2CuF5,60.0,34.9
mp-676975,1.09,0.26,-431.0,647.0,Ba3Na7Ti3Nb7O30,11.4,143.0
mp-767590,0.331,0.252,-703.0,708.0,Li2V(CO3)2,8.93,553.0
mp-770025,1.02,0.0298,-523.0,791.0,Na2MnBPO7,92.9,55.6
mp-695514,1.16,0.193,-601.0,697.0,NaSr2NdTi4O12,0.969,13.0
mp-772823,0.771,0.21,-448.0,703.0,Y2HfO5,0.77,3.93
mp-755898,0.659,0.638,-645.0,582.0,Er3TaO7,2.34,2.27
mp-755867,0.82,0.224,-439.0,652.0,Lu2Sb2O7,0.678,3.22
mp-767417,0.864,0.0322,-423.0,776.0,K2AlPCO7,0.586,31.6
mp-556477,0.918,0.285,-515.0,668.0,Lu2O3,0.899,2.93
mp-5598,1.04,0.554,-498.0,624.0,Sm2SO2,0.693,1.86
mp-1767,0.936,0.104,-388.0,765.0,Tm2O3,0.452,4.07
mp-568803,1.35,0.788,-536.0,524.0,Mg(B6C)2,0.811,1.12
mp-505045,1.22,0.358,-315.0,574.0,Na5(InTe3)2,0.303,18.3
mp-755420,0.819,0.244,-469.0,758.0,SrSm2O4,0.919,12.1
mp-556974,0.539,0.225,-605.0,762.0,BaB4O7,2.07,22.9
mp-6419,0.895,0.0293,-412.0,803.0,CaSi2(BO4)2,0.534,23.0
mp-556719,0.042,0.213,-795.0,730.0,K2Ti(SiO3)3,43.5,8.48
mp-707176,0.88,0.0646,-399.0,721.0,NaCa2Al2P2H5O11F4,0.511,143.0
mp-626721,0.962,0.119,-383.0,664.0,RbHO,0.43,8.57
mp-770579,0.00578,0.156,-821.0,697.0,LaMgI5,6890.0,31.6
mp-6066,0.773,0.102,-442.0,767.0,NaTaGeO5,0.74,6.44
mp-23045,0.977,0.193,-595.0,733.0,BNCl2,30.8,5.96
mp-574928,0.686,0.05,-570.0,760.0,CsPH3O3F,6.68,32.8
mp-754403,0.935,0.266,-465.0,757.0,ZrO2,1.15,2.31
mp-8414,0.874,0.0566,-427.0,853.0,K2HfF6,0.588,9.07
mp-866658,0.639,0.125,-666.0,820.0,H16RhN5(Cl2O)3,33.1,290.0
mp-556666,1.11,0.0529,-428.0,771.0,CaBiCO4F,13.8,15.2
mp-558489,0.62,0.131,-496.0,640.0,Ca6Hf19O44,1.32,5.71
mp-21835,1.16,0.4,-265.0,500.0,Cs2In2Sb3,0.18,28.0
mp-29062,0.284,0.0606,-629.0,810.0,ThZr2F12,3.94,40.3
mp-743564,0.0987,0.166,-669.0,655.0,MnTlH2OF4,15.4,14.6
mp-16831,0.0514,0.108,-825.0,794.0,CaTi4(PO4)6,43.1,19.0
mp-549728,1.52,1.75,-576.0,515.0,DyZnPO,0.616,1.76
mp-561370,0.25,0.0899,-631.0,711.0,S,17.7,44.7
mp-33723,1.32,0.296,-326.0,581.0,BiTeBr,0.411,1.02
mp-570480,0.321,0.246,-605.0,577.0,TcBr4,11.2,8.72
mp-24528,0.157,0.242,-649.0,604.0,CrH8C4(S2N3)2,11.4,75.9
mp-556287,0.498,0.0716,-592.0,758.0,NaBi2Sb3O11,1.99,13.8
mp-770693,0.323,0.127,-634.0,680.0,Li3MnAl2O6,5.0,12.6
mp-570693,0.0301,0.115,-769.0,714.0,SbSe3N2Cl7,66.7,80.4
mp-37990,0.809,0.000949,-444.0,1060.0,AlPO4,0.687,586.0
mp-775155,0.00734,0.064,-793.0,755.0,Li4FeOF5,715.0,254.0
mp-554581,0.398,0.339,-675.0,669.0,KSmP2S7,4.91,11.2
mp-600219,0.42,0.946,-507.0,443.0,MnH12C2(NCl2)2,80400.0,2180.0
mp-695648,0.103,0.00717,-648.0,690.0,KNa6Al7Si9O32,13.7,208.0
mp-17862,2.83,0.589,-392.0,662.0,Ag3Ge5P6,0.153,0.734
mp-9126,0.975,0.0707,-383.0,780.0,Sr(SbO3)2,0.439,7.28
mp-780293,0.943,0.127,-392.0,638.0,Dy2Ge2O7,0.461,3.83
mp-772080,0.00148,0.761,-889.0,611.0,BaLaI5,1560.0,47.8
mp-686076,0.846,0.0855,-561.0,635.0,Ga6Te10Pb,2.54,10.5
mp-5245,0.537,0.398,-747.0,840.0,Zn(CN)2,2.93,3.96
mp-31776,0.00608,0.057,-680.0,688.0,Li3Fe(PO4)2,473.0,23.2
mp-757002,0.213,0.0109,-734.0,804.0,KZrPCO7,149.0,181.0
mp-557857,1.62,0.137,-492.0,754.0,SrLi2Nb2O7,12200.0,6.1
mp-553925,0.831,0.0261,-435.0,686.0,Rb5B19O31,0.645,22.8
mp-539,1.07,0.188,-324.0,627.0,Ga2S3,0.287,4.09
mp-698410,0.389,0.0421,-499.0,662.0,MnGe4H24C8(S5N)2,1.83,16.7
mp-764269,0.00645,0.152,-813.0,760.0,VOF3,364.0,42.6
mp-770324,0.574,0.0877,-598.0,778.0,Na5LiNi2P2(CO7)2,132.0,114.0
mp-554328,0.0976,0.111,-766.0,776.0,NaSO4,36.0,36.8
mp-757495,0.589,0.0625,-505.0,774.0,Sn(PO3)4,1.25,14.3
mp-6674,0.649,0.145,-488.0,779.0,LiLa2SbO6,1.06,6.6
mp-691131,0.495,0.128,-580.0,657.0,Bi6W4O21,2.64,449.0
mp-510065,1.08,0.285,-321.0,535.0,CsNdHgSe3,0.298,2.19
mp-600026,0.954,0.263,-434.0,621.0,SiO2,0.56,17.7
mp-644409,0.908,0.096,-403.0,751.0,LiAlPHO5,0.504,8.88
mp-557224,0.72,0.144,-533.0,770.0,HgSeO3,1.84,5.64
mp-770340,0.361,0.182,-685.0,728.0,Li4Cr3CoO8,9.32,9.47
mp-707900,0.871,0.0351,-420.0,767.0,PrH20S4N5O16,0.572,437.0
mp-505771,0.848,0.0215,-432.0,788.0,K2NaH5(CO4)2,0.623,95.1
mp-23251,0.97,0.114,-374.0,727.0,KBr,0.407,3.47
mp-556894,0.922,0.412,-484.0,623.0,Rb2SbAuS4,1.94,12.3
mp-674537,0.583,0.635,-667.0,588.0,Ba2Bi6O11,17.5,13.4
mp-625937,0.0906,0.00158,-713.0,767.0,H7NO6,20.0,7870.0
mp-652494,0.365,0.456,-664.0,638.0,Cs4Re6S13,4.3,5.99
mp-567743,0.618,0.872,-466.0,533.0,AlSb2(TeCl2)2,1.9,154.0
mp-707392,0.878,0.024,-410.0,756.0,Mg3B2P2(H9O10)2,0.541,25.4
mp-643989,0.446,0.232,-602.0,740.0,KHCO2,2.41,8.27
mp-25762,0.135,0.373,-680.0,632.0,LaFeGe2O7,204.0,14.7
mp-777476,0.0902,0.0495,-782.0,798.0,CrFe2(PO4)3,19.2,35.4
mp-703516,0.0204,0.126,-795.0,745.0,K2TiH2O3F4,164.0,2490.0
mp-27063,0.861,0.0834,-419.0,754.0,Li2CuPO4,0.575,20.1
mp-780646,0.262,0.561,-646.0,571.0,LiMnPO4,4.5,8.53
mp-25681,0.0191,0.009089999999999999,-578.0,-324.0,Na2CoH8(SO6)2,50.2,104.0
mp-723065,0.162,0.111,-745.0,711.0,H2C2S3N2(OF)6,21.9,17.0
mp-568584,0.353,0.20299999999999999,-767.0,724.0,N2,10.5,12.8
mp-756135,0.68,0.641,-662.0,588.0,Tb3NbO7,7.68,2.19
mp-7748,0.986,0.123,-366.0,788.0,NaAlO2,0.382,3.85
mp-849513,0.168,0.708,-629.0,602.0,Fe2Sb(PO4)3,9.11,1.64
mp-5088,0.0263,2.06,-890.0,650.0,NaGdO2,84.9,7.32
mp-771944,0.00365,0.427,-895.0,682.0,Ba3La2Cl12,1250.0,5.49
mp-4644,1.24,0.472,-519.0,734.0,Si2N2O,0.616,146.0
mp-767028,0.179,0.0256,-633.0,740.0,Li6Mn(OF)3,37.3,83.4
mp-567371,1.03,0.322,-344.0,621.0,Sr3Li4(GeN3)2,0.327,4.06
mp-775837,0.289,0.286,-793.0,706.0,Sc2O3,6.15,6.24
mp-30239,0.574,0.998,-650.0,622.0,Sr3(BS3)2,3.29,4.38
mp-13065,1.19,0.667,-517.0,523.0,Ho2O3,0.636,1.36
mp-573109,0.206,0.139,-689.0,641.0,Sm2Se5O13,7.63,11.2
mp-778772,0.857,0.0128,-414.0,804.0,Li3Cu3(PO4)2,0.569,59.1
mp-677542,0.209,0.0309,-609.0,781.0,Mo3H24C8S13N2,6.96,33.8
mp-641441,0.792,0.709,-480.0,500.0,PbWO4,1.12,1.45
mp-23452,1.09,0.379,-563.0,672.0,Sn3BrF5,0.867,2.8
mp-672334,0.883,0.439,-411.0,558.0,Sr4GaCN5,0.557,1460.0
mp-27640,0.621,0.221,-584.0,723.0,Cd(IO3)2,2.59,8.18
mp-755391,0.959,0.0891,-376.0,793.0,BaNa2O2,0.421,5.95
mp-763483,0.563,0.373,-585.0,655.0,LiP2WO8,42.3,503.0
mp-559764,0.72,0.232,-491.0,709.0,Nd3Si2ClO8,1.44,16.1
mp-556021,0.537,0.0789,-567.0,696.0,BaTeO3,2.03,13.2
mp-541688,0.709,0.307,-513.0,629.0,K3GaTe3,1.35,4.27
mp-23268,1.09,0.167,-330.0,714.0,NaI,0.28,1.84
mp-34291,0.147,0.069,-802.0,831.0,Zr3InF15,30.8,27.8
mp-706235,0.209,0.246,-667.0,760.0,NaCa2V3Zn2O12,6.15,5.09
mp-761570,0.689,0.0513,-360.0,685.0,Li3MnPO5,0.532,172.0
mp-3606,0.459,0.551,-582.0,611.0,MnSiN2,2.25,2.57
mp-754646,1.05,0.122,-343.0,773.0,Dy2Ge2O7,0.316,2.72
mp-634431,0.822,0.111,-462.0,716.0,KHCO3,0.818,16.4
mp-768450,0.508,0.262,-711.0,742.0,Tm3Sb5O12,2.8,5.43
mp-559184,0.599,0.365,-549.0,580.0,Zn2Si3Pb4SO15,2.16,2.9
mp-769773,0.332,0.37,-769.0,743.0,Li3CrClO4,21.7,4.6
mp-771883,0.000825,0.384,-895.0,631.0,Sr3LaCl9,10100.0,9.12
mp-3188,1.08,0.122,-281.0,567.0,Zn(SbO3)2,0.206,1.88
mp-754034,0.786,0.047599999999999996,-454.0,770.0,Li2TlPCO7,0.816,35.5
mp-9747,0.801,0.236,-434.0,615.0,B4PbO7,0.663,2.38
mp-684801,0.378,0.123,-612.0,818.0,CaLaMgTaO6,3.23,9.65
mp-707866,0.934,0.0733,-394.0,773.0,SrZnH6O5,0.469,6.65
mp-545756,0.905,0.0171,-406.0,883.0,ZnSO4,0.514,27.1
mp-557319,0.147,0.0286,-684.0,828.0,InH8C4NO10,8.99,53.4
mp-677670,0.00427,0.00301,-649.0,652.0,Na2Al2Si3(HO3)4,3060.0,129000.0
mp-8450,0.96,0.0717,-385.0,741.0,Rb2Li2GeO4,0.437,34.2
mp-16055,0.0468,0.466,-801.0,688.0,KLi3Zr2(Si2O5)6,66.1,4.65
mp-761683,0.85,0.0692,-426.0,748.0,Na4TiO4,0.603,15.3
mp-5207,0.123,0.0495,-755.0,793.0,Sc(PO3)3,13.0,32.4
mp-7323,0.868,0.132,-418.0,719.0,RbBe2BO3F2,0.572,85.3
mp-767095,0.102,0.125,-697.0,697.0,Li2MnOF3,26.4,11.1
mp-561441,0.925,0.0989,-397.0,727.0,Y2GeO5,0.483,40.2
mp-8177,1.07,0.043,-327.0,918.0,HgF2,0.282,7.02
mp-559210,0.879,0.133,-406.0,705.0,Ca5Te3O14,0.531,16.8
mp-561397,0.658,0.0745,-494.0,747.0,SO3,1.08,13.1
mp-22841,0.96,0.249,-333.0,553.0,Ba2In2S5,0.328,1.79
mp-720494,0.421,0.0415,-542.0,747.0,K4TeP4(HO2)10,2.02,52.4
mp-684679,0.856,0.115,-432.0,639.0,Sb6O13,0.625,94.1
mp-1726,0.273,0.15,-571.0,624.0,KO3,3.36,7.94
mp-865188,0.834,0.0787,-429.0,708.0,MgH8(ClO6)2,0.627,10.7
mp-745132,0.0258,0.0185,-684.0,681.0,VH10SO10,58.4,186.0
mp-604978,0.0411,0.00241,-728.0,731.0,NiAs3H3OF18,87.4,1110.0
mp-556517,0.743,0.125,-490.0,700.0,K2PbO2,1.12,8.54
mp-23121,0.936,0.0496,-395.0,743.0,Sr5P3ClO12,0.47,9.01
mp-4160,0.777,0.728,-572.0,590.0,Tl3PSe4,1.26,1.99
mp-571250,0.0208,0.0626,-757.0,685.0,TaP2Se2Cl5,99.8,177.0
mp-689684,0.0115,0.162,-717.0,703.0,P2O5,4320.0,108.0
mp-557606,0.356,0.865,-670.0,551.0,SbAs3(Se2F3)2,3.83,2.32
mp-866813,0.517,0.134,-537.0,707.0,Ca2SnS4,1.62,19.6
mp-695592,0.441,0.065,-478.0,674.0,Ca10Al6Si13N30,9720.0,38300.0
mp-5884,0.879,0.149,-398.0,684.0,TmPO4,0.508,4.32
mp-550474,0.61,0.155,-537.0,767.0,Li4CO4,1.36,6.15
mp-23493,0.0413,0.347,-753.0,717.0,Ce(IO3)4,65.9,9.31
mp-780872,0.28099999999999997,0.443,-624.0,598.0,LiMnSiO4,5.29,49.4
mp-754363,0.948,0.25,-422.0,712.0,Ba2HfO4,0.561,2.63
mp-677002,0.00942,0.0339,-641.0,682.0,SrZr12B2I5Cl23,366.0,36.9
mp-24357,0.668,0.101,-552.0,787.0,H3CSO4F3,2.21,3170.0
mp-653460,0.0692,0.00659,-638.0,773.0,Co4Sn(CO)16,16.6,174.0
mp-541218,0.000884,0.324,-926.0,702.0,GdP2H9O10,3060.0,8.5
mp-772034,0.000958,0.87,-834.0,571.0,Ba3LaI9,12900.0,3.94
mp-558188,1.16,0.311,-311.0,495.0,AgHg2AsO4,0.293,1.34
mp-763582,0.974,0.892,-189.0,-167.0,KMn2P2HO9,0.19,0.203
mp-675215,0.999,0.154,-381.0,615.0,Mg2SiO4,0.41,3.0
mp-554645,0.404,0.0514,-688.0,744.0,K3Sb2N2O6F7,367.0,5130.0
mp-27480,0.851,0.517,-524.0,674.0,Sn2OF2,1.13,1.71
mp-28606,1.1,0.177,-489.0,612.0,K3AuSe13,2.22,5.36
mp-927,1.19,1.31,-503.0,577.0,CuP2,0.677,0.666
mp-23321,0.964,0.0396,-365.0,756.0,Sr4Cl6O,0.39,10.4
mp-7176,1.2,0.72,-566.0,597.0,RbLaSe2,0.757,2.06
mp-669333,1.04,0.00371,-412.0,711.0,Ba5Si8O21,0.461,197.0
mp-422,1.64,0.984,-477.0,607.0,BeS,0.392,0.653
mp-554889,0.858,0.116,-252.0,579.0,ZnS,0.262,3.23
mp-24949,0.2,0.382,-692.0,646.0,FeAsO4,7.44,4.57
mp-764014,0.952,0.96,168.0,170.0,V3OF11,520.0,512.0
mp-18051,0.444,0.404,-627.0,706.0,La2TiO5,34.9,8.08
mp-28391,0.7,0.0148,-465.0,820.0,SiCl4,0.875,42.7
mp-12016,0.721,0.0979,-511.0,708.0,Rb2SiS3,1.47,8.88
mp-6383,0.939,0.0483,-386.0,772.0,BaBe2Si2O7,0.448,10.8
