Chemical formula,A,B,In literature,Valence A,Valence B,Radius A [ang],Radius B [ang],Lowest distortion,Formation energy [eV/atom],Stability [eV/atom],Magnetic moment [mu_B],Volume per atom [A^3/atom],Band gap [eV],a [ang],b [ang],c [ang],alpha [deg],beta [deg],gamma [deg],Vacancy energy [eV/O atom]
TmPuO3,Tm,Pu,FALSE,element not in BV,element not in BV,1.05,0.83,cubic,-2.550,1.233,0.891,16.579,0.000,4.360,4.360,4.360,90.0,90.0,90.0,2.549
TmRbO3,Tm,Rb,FALSE,not balanced,not balanced,1.05,1.52,orthorhombic,-2.055,0.479,0.400,18.959,0.000,5.815,5.858,11.132,90.0,90.0,90.0,-9.129
TmReO3,Tm,Re,FALSE,2,4,1.09,0.63,cubic,-1.823,0.936,0.155,12.190,0.000,3.935,3.935,3.935,90.0,90.0,90.0,-0.238
TmRhO3,Tm,Rh,FALSE,2,4,1.09,0.60,cubic,-1.780,0.653,0.001,11.866,0.000,3.900,3.900,3.900,90.0,90.0,90.0,-0.484
TmRuO3,Tm,Ru,FALSE,2,4,1.09,0.62,cubic,-1.832,0.704,0.135,11.851,0.000,3.899,3.899,3.899,90.0,90.0,90.0,0.270
TmSbO3,Tm,Sb,FALSE,3,3,1.05,0.76,cubic,-1.647,1.109,0.000,14.768,0.000,4.195,4.195,4.195,90.0,90.0,90.0,0.334
TmScO3,Tm,Sc,FALSE,3,3,1.05,0.75,cubic,-3.241,0.629,0.000,12.507,2.748,3.969,3.969,3.969,90.0,90.0,90.0,4.911
TmSiO3,Tm,Si,FALSE,3,3,1.05,0.40,cubic,-2.594,0.791,0.000,9.755,0.000,3.654,3.654,3.654,90.0,90.0,90.0,4.438
TmSmO3,Tm,Sm,FALSE,not balanced,not balanced,1.05,0.96,cubic,-2.537,1.279,0.000,16.736,0.355,4.374,4.374,4.374,90.0,90.0,90.0,-1.761
TmSnO3,Tm,Sn,FALSE,2,4,1.09,0.69,cubic,-1.928,0.945,0.001,13.690,0.000,4.091,4.091,4.091,90.0,90.0,90.0,2.161
TmSrO3,Tm,Sr,FALSE,not balanced,not balanced,1.05,1.18,orthorhombic,-2.964,0.241,0.200,16.179,0.922,6.216,6.361,8.184,90.0,90.0,90.0,-4.547
TmTaO3,Tm,Ta,FALSE,2,4,1.09,0.68,cubic,-2.601,0.757,0.001,12.763,0.000,3.996,3.996,3.996,90.0,90.0,90.0,2.754
TmTbO3,Tm,Tb,FALSE,2,4,1.09,0.76,cubic,-2.623,1.123,0.000,15.658,0.861,4.278,4.278,4.278,90.0,90.0,90.0,-0.338
TmTcO3,Tm,Tc,FALSE,element not in BV,element not in BV,1.05,0.60,cubic,-2.002,0.729,0.315,12.040,0.000,3.919,3.919,3.919,90.0,90.0,90.0,0.735
TmTeO3,Tm,Te,FALSE,2,4,1.09,0.97,cubic,-1.339,1.249,0.003,15.098,0.000,4.226,4.226,4.226,90.0,90.0,90.0,0.499
TmThO3,Tm,Th,FALSE,2,4,1.09,0.94,cubic,-2.711,1.161,0.013,18.888,0.000,4.554,4.554,4.554,90.0,90.0,90.0,1.886
TmTiO3,Tm,Ti,TRUE,2,4,1.09,0.61,orthorhombic,-3.482,0.045,0.200,11.186,0.000,5.245,5.631,7.575,90.0,90.0,90.0,4.479
TmTlO3,Tm,Tl,FALSE,not balanced,not balanced,1.05,1.20,orthorhombic,-2.301,0.133,0.000,13.813,0.887,5.480,5.825,8.656,90.0,90.0,90.0,0.355
Tm2O3,Tm,Tm,FALSE,not balanced,not balanced,1.05,0.96,cubic,-2.976,0.956,0.000,14.604,1.456,4.180,4.180,4.180,90.0,90.0,90.0,1.360
TmUO3,Tm,U,FALSE,2,4,1.09,0.89,cubic,-2.505,1.179,0.514,16.852,0.000,4.384,4.384,4.384,90.0,90.0,90.0,1.536
TmVO3,Tm,V,TRUE,2,4,1.09,0.58,orthorhombic,-3.293,-0.011,0.400,11.162,1.382,5.245,5.632,7.558,90.0,90.0,90.0,3.816
TmWO3,Tm,W,FALSE,2,4,1.09,0.66,cubic,-2.119,0.826,0.002,12.354,0.000,3.953,3.953,3.953,90.0,90.0,90.0,0.777
TmYO3,Tm,Y,FALSE,not balanced,not balanced,1.05,0.90,cubic,-2.787,1.083,0.000,15.361,1.077,4.251,4.251,4.251,90.0,90.0,90.0,0.048
TmYbO3,Tm,Yb,FALSE,not balanced,not balanced,1.05,0.95,cubic,-2.299,1.070,-0.126,13.643,0.000,4.086,4.086,4.086,90.0,90.0,90.0,-2.262
TmZnO3,Tm,Zn,FALSE,not balanced,not balanced,1.05,0.74,orthorhombic,-2.469,0.157,0.000,10.986,0.000,5.187,5.737,7.385,90.0,90.0,90.0,-0.492
TmZrO3,Tm,Zr,FALSE,2,4,1.09,0.72,cubic,-2.882,0.728,0.000,13.976,0.000,4.119,4.119,4.119,90.0,90.0,90.0,3.957
UAcO3,U,Ac,FALSE,element not in BV,element not in BV,1.17,1.12,cubic,-2.164,1.345,0.602,20.164,0.000,4.654,4.654,4.654,90.0,90.0,90.0,0.184
UAgO3,U,Ag,FALSE,3,3,1.03,0.75,orthorhombic,-2.184,0.330,0.368,13.544,0.000,5.530,6.255,7.831,90.0,90.0,90.0,-2.108
UAlO3,U,Al,FALSE,3,3,1.03,0.54,orthorhombic,-3.392,-0.011,0.600,10.771,1.428,5.340,5.349,7.540,90.0,90.0,90.0,4.383
UAsO3,U,As,FALSE,3,3,1.03,0.58,cubic,-1.816,0.957,0.657,13.098,0.000,4.031,4.031,4.031,90.0,90.0,90.0,1.420
UAuO3,U,Au,FALSE,element not in BV,element not in BV,1.17,0.93,cubic,-1.376,1.129,0.588,14.154,0.000,4.136,4.136,4.136,90.0,90.0,90.0,0.219
UBO3,U,B,FALSE,4,2,1.17,0.27,cubic,-2.116,1.062,0.579,9.215,0.000,3.585,3.585,3.585,90.0,90.0,90.0,3.382
UBaO3,U,Ba,FALSE,not balanced,not balanced,1.17,1.35,orthorhombic,-3.220,0.240,0.400,18.953,1.230,5.856,6.008,10.773,90.0,90.0,90.0,-
UBeO3,U,Be,FALSE,4,2,1.17,0.45,cubic,-2.890,0.588,0.400,9.175,0.000,3.580,3.580,3.580,90.0,90.0,90.0,2.891
UBiO3,U,Bi,FALSE,3,3,1.03,1.03,cubic,-1.527,1.256,0.705,16.421,0.000,4.346,4.346,4.346,90.0,90.0,90.0,-
UCaO3,U,Ca,FALSE,4,2,1.17,1.00,cubic,-2.262,1.307,0.409,14.780,0.000,4.196,4.196,4.196,90.0,90.0,90.0,-
UCdO3,U,Cd,FALSE,4,2,1.17,0.95,orthorhombic,-2.600,0.186,0.400,14.039,2.146,5.620,6.035,8.278,90.0,90.0,90.0,-0.036
UCeO3,U,Ce,FALSE,3,3,1.03,1.01,cubic,-2.258,1.221,0.600,18.799,0.000,4.547,4.547,4.547,90.0,90.0,90.0,0.678
UCoO3,U,Co,FALSE,3,3,1.03,0.61,cubic,-2.265,0.524,0.675,10.666,0.000,3.764,3.764,3.764,90.0,90.0,90.0,-
UCrO3,U,Cr,FALSE,3,3,1.03,0.62,rhombohedral,-2.959,0.160,1.200,11.898,0.418,5.471,5.471,5.471,61.2,61.2,61.2,4.983
UCsO3,U,Cs,FALSE,not balanced,not balanced,1.17,1.67,tetragonal,-2.343,0.712,0.200,18.762,1.048,3.608,3.608,7.208,90.0,90.0,90.0,-
UCuO3,U,Cu,FALSE,4,2,1.17,0.73,rhombohedral,-2.345,0.276,0.194,11.638,0.000,5.330,5.330,5.330,63.9,63.9,63.9,-
UDyO3,U,Dy,FALSE,3,3,1.03,0.91,cubic,-2.815,0.829,0.600,15.753,0.000,4.287,4.287,4.287,90.0,90.0,90.0,3.396
UErO3,U,Er,FALSE,3,3,1.03,0.89,cubic,-2.909,0.758,0.600,15.284,0.000,4.244,4.244,4.244,90.0,90.0,90.0,-
UEuO3,U,Eu,FALSE,3,3,1.03,0.95,cubic,-2.066,1.584,0.458,15.639,0.000,4.276,4.276,4.276,90.0,90.0,90.0,-6.272
UFeO3,U,Fe,FALSE,3,3,1.03,0.65,cubic,-2.256,0.644,1.570,11.842,0.000,3.898,3.898,3.898,90.0,90.0,90.0,2.177
UGaO3,U,Ga,FALSE,3,3,1.03,0.62,orthorhombic,-2.750,0.242,0.600,11.842,1.067,5.475,5.502,7.862,90.0,90.0,90.0,3.046
UGdO3,U,Gd,FALSE,3,3,1.03,0.94,cubic,-2.706,0.909,0.600,16.310,0.000,4.337,4.337,4.337,90.0,90.0,90.0,2.735
UGeO3,U,Ge,FALSE,3,3,1.03,0.63,cubic,-2.099,0.759,0.693,12.104,0.000,3.926,3.926,3.926,90.0,90.0,90.0,2.243
UHfO3,U,Hf,FALSE,3,3,1.03,0.71,orthorhombic,-3.250,0.199,0.621,13.562,0.000,5.629,5.974,8.067,90.0,90.0,90.0,5.259
UHgO3,U,Hg,FALSE,4,2,1.17,1.02,orthorhombic,-2.226,0.291,0.400,15.403,1.773,5.681,6.135,8.838,90.0,90.0,90.0,-2.345
UHoO3,U,Ho,FALSE,3,3,1.03,0.90,cubic,-2.864,0.792,0.600,15.541,0.000,4.267,4.267,4.267,90.0,90.0,90.0,-
UInO3,U,In,FALSE,3,3,1.03,0.80,tetragonal,-2.182,0.724,0.595,14.588,0.000,4.062,4.062,4.421,90.0,90.0,90.0,-
UIrO3,U,Ir,FALSE,3,3,1.03,0.68,cubic,-1.678,0.933,0.600,12.830,0.000,4.003,4.003,4.003,90.0,90.0,90.0,0.675
UKO3,U,K,FALSE,not balanced,not balanced,1.17,1.38,orthorhombic,-2.870,0.270,0.200,17.520,2.296,5.403,5.740,11.299,90.0,90.0,90.0,-3.130
ULaO3,U,La,FALSE,3,3,1.03,1.03,cubic,-2.388,1.187,0.601,19.160,0.000,4.576,4.576,4.576,90.0,90.0,90.0,1.159
ULiO3,U,Li,FALSE,5,1,0.84,0.76,orthorhombic,-3.047,0.099,0.200,10.735,2.256,5.167,5.647,7.359,90.0,90.0,90.0,-2.292
ULuO3,U,Lu,FALSE,3,3,1.03,0.86,cubic,-3.039,0.661,0.600,14.615,0.000,4.181,4.181,4.181,90.0,90.0,90.0,-
UMgO3,U,Mg,FALSE,4,2,1.17,0.72,orthorhombic,-3.363,0.107,0.400,11.777,3.156,5.348,5.732,7.683,90.0,90.0,90.0,0.900
UMnO3,U,Mn,FALSE,3,3,1.03,0.65,orthorhombic,-2.991,0.115,1.400,12.781,1.822,5.463,5.940,7.879,90.0,90.0,90.0,3.810
UMoO3,U,Mo,FALSE,3,3,1.03,0.69,cubic,-2.307,0.631,0.621,12.796,0.000,4.000,4.000,4.000,90.0,90.0,90.0,2.262
UNaO3,U,Na,FALSE,not balanced,not balanced,1.17,1.02,orthorhombic,-2.870,0.238,0.200,13.162,2.597,5.483,5.740,8.365,90.0,90.0,90.0,-4.483
UNbO3,U,Nb,FALSE,3,3,1.03,0.72,cubic,-2.632,0.521,0.662,13.425,0.000,4.064,4.064,4.064,90.0,90.0,90.0,3.631
UNdO3,U,Nd,FALSE,3,3,1.03,0.98,cubic,-2.423,1.106,0.590,17.783,0.000,4.463,4.463,4.463,90.0,90.0,90.0,-
UNiO3,U,Ni,FALSE,4,2,1.17,0.69,cubic,-2.136,0.652,0.800,10.883,0.000,3.789,3.789,3.789,90.0,90.0,90.0,0.946
UNpO3,U,Np,FALSE,element not in BV,element not in BV,1.17,0.86,cubic,-2.741,0.718,1.400,17.420,0.000,4.433,4.433,4.433,90.0,90.0,90.0,-
UOsO3,U,Os,FALSE,element not in BV,element not in BV,1.17,0.57,cubic,-1.725,0.915,0.591,12.648,0.000,3.984,3.984,3.984,90.0,90.0,90.0,1.066
UPaO3,U,Pa,FALSE,element not in BV,element not in BV,1.17,0.91,cubic,-2.447,0.774,0.999,18.096,0.000,4.489,4.489,4.489,90.0,90.0,90.0,-
UPbO3,U,Pb,FALSE,not balanced,not balanced,1.17,0.99,orthorhombic,-2.554,0.266,0.400,17.378,0.881,5.706,5.963,10.215,90.0,90.0,90.0,-
UPdO3,U,Pd,FALSE,4,2,1.17,0.86,cubic,-1.758,0.793,0.592,12.851,0.000,4.005,4.005,4.005,90.0,90.0,90.0,0.772
UPmO3,U,Pm,FALSE,element not in BV,element not in BV,1.17,0.97,cubic,-2.507,1.050,0.600,17.331,0.000,4.425,4.425,4.425,90.0,90.0,90.0,0.672
UPrO3,U,Pr,FALSE,3,3,1.03,0.99,cubic,-2.348,1.158,0.581,18.388,0.000,4.513,4.513,4.513,90.0,90.0,90.0,-
UPtO3,U,Pt,FALSE,element not in BV,element not in BV,1.17,0.67,cubic,-1.613,0.922,0.600,13.370,0.000,4.059,4.059,4.059,90.0,90.0,90.0,0.467
UPuO3,U,Pu,FALSE,element not in BV,element not in BV,1.17,0.83,cubic,-2.690,0.846,1.600,17.523,0.000,4.441,4.441,4.441,90.0,90.0,90.0,3.167
URbO3,U,Rb,FALSE,not balanced,not balanced,1.17,1.52,orthorhombic,-2.834,0.280,0.200,18.845,2.310,5.387,5.747,12.174,90.0,90.0,90.0,-10.746
UReO3,U,Re,FALSE,3,3,1.03,0.63,cubic,-1.930,0.874,0.637,12.729,0.000,3.993,3.993,3.993,90.0,90.0,90.0,1.647
URhO3,U,Rh,FALSE,3,3,1.03,0.67,cubic,-1.883,0.720,0.570,12.518,0.000,3.970,3.970,3.970,90.0,90.0,90.0,0.540
URuO3,U,Ru,FALSE,3,3,1.03,0.68,cubic,-1.941,0.731,0.565,12.441,0.000,3.962,3.962,3.962,90.0,90.0,90.0,0.962
USbO3,U,Sb,FALSE,3,3,1.03,0.76,cubic,-1.742,1.076,0.725,15.118,0.000,4.228,4.228,4.228,90.0,90.0,90.0,0.893
UScO3,U,Sc,FALSE,3,3,1.03,0.75,orthorhombic,-3.609,0.013,0.600,13.125,2.023,5.600,5.831,8.039,90.0,90.0,90.0,4.046
USiO3,U,Si,FALSE,4,2,1.17,0.40,cubic,-2.462,0.760,0.734,10.727,0.000,3.771,3.771,3.771,90.0,90.0,90.0,3.318
USmO3,U,Sm,FALSE,3,3,1.03,0.96,cubic,-2.560,1.009,0.600,17.051,0.000,4.401,4.401,4.401,90.0,90.0,90.0,2.588
USnO3,U,Sn,FALSE,3,3,1.03,0.69,cubic,-1.988,0.919,0.744,13.908,0.000,4.112,4.112,4.112,90.0,90.0,90.0,2.060
USrO3,U,Sr,FALSE,4,2,1.17,1.18,orthorhombic,-3.326,0.161,0.400,16.725,1.939,5.809,5.967,9.651,90.0,90.0,90.0,-7.732
UTaO3,U,Ta,FALSE,3,3,1.03,0.72,rhombohedral,-2.783,0.385,0.529,12.908,0.000,5.388,5.388,5.388,67.9,67.9,67.9,3.370
UTbO3,U,Tb,FALSE,3,3,1.03,0.92,cubic,-2.631,0.867,0.600,16.016,0.000,4.310,4.310,4.310,90.0,90.0,90.0,3.219
UTcO3,U,Tc,FALSE,element not in BV,element not in BV,1.17,0.60,cubic,-2.111,0.691,0.876,12.613,0.000,3.980,3.980,3.980,90.0,90.0,90.0,1.893
UTeO3,U,Te,FALSE,2,4,1.17,0.97,cubic,-1.458,1.223,0.768,15.493,0.000,4.263,4.263,4.263,90.0,90.0,90.0,-
UThO3,U,Th,FALSE,not balanced,not balanced,1.17,0.94,cubic,-2.860,0.828,0.798,19.090,0.000,4.570,4.570,4.570,90.0,90.0,90.0,3.054
UTiO3,U,Ti,FALSE,3,3,1.03,0.67,orthorhombic,-3.271,0.118,0.414,12.263,0.000,5.463,5.692,7.888,90.0,90.0,90.0,5.163
UTlO3,U,Tl,FALSE,3,3,1.03,0.89,orthorhombic,-2.238,0.507,0.400,15.585,0.000,5.939,6.187,8.483,90.0,90.0,90.0,-0.975
UTmO3,U,Tm,FALSE,3,3,1.03,0.88,cubic,-2.966,0.719,0.600,15.012,0.000,4.218,4.218,4.218,90.0,90.0,90.0,3.505
U2O3,U,U,FALSE,3,3,1.03,1.03,cubic,-2.634,0.804,1.192,17.224,0.000,4.416,4.416,4.416,90.0,90.0,90.0,-
UVO3,U,V,FALSE,3,3,1.03,0.64,orthorhombic,-3.176,0.020,1.000,12.447,1.685,5.392,5.949,7.760,90.0,90.0,90.0,4.461
UWO3,U,W,FALSE,3,3,1.03,0.66,cubic,-2.213,0.731,0.644,12.827,0.000,4.003,4.003,4.003,90.0,90.0,90.0,2.108
UYO3,U,Y,FALSE,3,3,1.03,0.90,cubic,-2.791,0.832,0.600,15.753,0.000,4.287,4.287,4.287,90.0,90.0,90.0,2.554
UYbO3,U,Yb,FALSE,3,3,1.03,0.87,cubic,-2.341,1.354,0.401,14.146,0.000,4.136,4.136,4.136,90.0,90.0,90.0,-3.140
UZnO3,U,Zn,FALSE,4,2,1.17,0.74,cubic,-2.187,0.764,0.511,11.536,0.000,3.864,3.864,3.864,90.0,90.0,90.0,1.141
UZrO3,U,Zr,FALSE,3,3,1.03,0.72,orthorhombic,-3.182,0.219,0.510,13.763,0.000,5.669,6.188,7.847,90.0,90.0,90.0,5.154
VAcO3,V,Ac,FALSE,element not in BV,element not in BV,0.72,1.12,orthorhombic,-2.930,0.291,0.400,15.507,1.198,5.844,5.912,8.977,90.0,90.0,90.0,-
VAgO3,V,Ag,FALSE,not balanced,not balanced,0.72,0.95,orthorhombic,-1.633,0.074,0.000,13.017,1.337,5.179,5.572,9.022,90.0,90.0,90.0,-6.146
VAlO3,V,Al,FALSE,not balanced,not balanced,0.72,0.54,orthorhombic,-2.863,0.085,0.400,8.938,1.896,4.981,5.175,6.935,90.0,90.0,90.0,-0.280
VAsO3,V,As,FALSE,not balanced,not balanced,0.72,0.52,cubic,-1.084,0.955,0.627,11.161,0.000,3.821,3.821,3.821,90.0,90.0,90.0,0.308
VAuO3,V,Au,FALSE,element not in BV,element not in BV,0.72,0.93,cubic,-0.187,1.444,0.524,13.074,0.000,4.028,4.028,4.028,90.0,90.0,90.0,-4.060
VBO3,V,B,FALSE,3,3,0.64,0.27,cubic,-1.478,1.210,0.400,7.393,0.000,3.331,3.331,3.331,90.0,90.0,90.0,0.401
VBaO3,V,Ba,FALSE,not balanced,not balanced,0.72,1.35,orthorhombic,-2.704,0.162,0.200,16.597,1.269,5.416,5.953,10.295,90.0,90.0,90.0,-13.060
VBeO3,V,Be,FALSE,not balanced,not balanced,0.72,0.45,cubic,-1.693,0.995,0.201,7.823,0.000,3.395,3.395,3.395,90.0,90.0,90.0,-3.297
VBiO3,V,Bi,FALSE,not balanced,not balanced,0.72,0.90,orthorhombic,-1.819,0.233,0.400,13.850,0.451,5.724,5.773,8.382,90.0,90.0,90.0,-
VCaO3,V,Ca,FALSE,not balanced,not balanced,0.72,1.00,orthorhombic,-2.726,0.175,0.200,13.001,1.207,5.508,5.518,8.554,90.0,90.0,90.0,-
VCdO3,V,Cd,FALSE,not balanced,not balanced,0.72,0.95,orthorhombic,-1.843,0.190,0.200,12.529,0.206,5.335,5.416,8.671,90.0,90.0,90.0,-7.137
VCeO3,V,Ce,FALSE,2,4,0.79,0.87,orthorhombic,-2.861,0.298,0.400,14.417,1.390,5.738,5.883,8.542,90.0,90.0,90.0,-7.387
VCoO3,V,Co,FALSE,2,4,0.79,0.53,cubic,-1.090,0.915,0.394,9.588,0.000,3.633,3.633,3.633,90.0,90.0,90.0,-1.853
VCrO3,V,Cr,FALSE,2,4,0.79,0.55,cubic,-1.686,0.870,1.000,10.403,0.000,3.733,3.733,3.733,90.0,90.0,90.0,-0.869
VCsO3,V,Cs,FALSE,not balanced,not balanced,0.72,1.67,-,-,-,-,-,-,-,-,-,-,-,-,-
VCuO3,V,Cu,FALSE,not balanced,not balanced,0.72,0.68,cubic,-0.814,1.034,-0.430,9.846,0.000,3.665,3.665,3.665,90.0,90.0,90.0,-3.557
VDyO3,V,Dy,FALSE,not balanced,not balanced,0.72,0.99,cubic,-1.750,1.521,0.400,15.483,0.000,4.262,4.262,4.262,90.0,90.0,90.0,-5.732
VErO3,V,Er,FALSE,not balanced,not balanced,0.72,0.89,cubic,-1.826,1.455,0.400,15.111,0.000,4.228,4.228,4.228,90.0,90.0,90.0,-5.367
VEuO3,V,Eu,FALSE,not balanced,not balanced,0.72,1.06,rhombohedral,-2.807,0.293,0.200,15.081,1.985,6.269,6.269,6.269,54.3,54.3,54.3,-8.901
VFeO3,V,Fe,FALSE,2,4,0.79,0.59,cubic,-1.293,0.852,1.400,10.568,0.000,3.753,3.753,3.753,90.0,90.0,90.0,-
VGaO3,V,Ga,FALSE,not balanced,not balanced,0.72,0.62,cubic,-1.438,0.928,0.400,10.615,0.000,3.758,3.758,3.758,90.0,90.0,90.0,-2.324
VGdO3,V,Gd,FALSE,not balanced,not balanced,0.72,0.94,cubic,-1.746,1.509,0.398,15.956,0.000,4.305,4.305,4.305,90.0,90.0,90.0,-5.305
VGeO3,V,Ge,FALSE,2,4,0.79,0.53,cubic,-1.495,0.670,0.595,10.236,0.000,3.713,3.713,3.713,90.0,90.0,90.0,2.025
VHfO3,V,Hf,FALSE,2,4,0.79,0.71,cubic,-2.528,0.680,0.600,13.250,0.000,4.046,4.046,4.046,90.0,90.0,90.0,3.531
VHgO3,V,Hg,FALSE,not balanced,not balanced,0.72,1.11,orthorhombic,-1.476,0.251,0.200,13.287,0.000,5.259,5.678,8.899,90.0,90.0,90.0,-6.526
VHoO3,V,Ho,FALSE,not balanced,not balanced,0.72,0.90,cubic,-1.788,1.487,0.401,15.251,0.000,4.241,4.241,4.241,90.0,90.0,90.0,-5.556
VInO3,V,In,FALSE,not balanced,not balanced,0.72,0.80,cubic,-0.931,1.307,0.440,13.575,0.000,4.079,4.079,4.079,90.0,90.0,90.0,-4.818
VIrO3,V,Ir,FALSE,2,4,0.79,0.63,cubic,-0.674,1.148,0.415,11.877,0.000,3.901,3.901,3.901,90.0,90.0,90.0,-1.000
VKO3,V,K,FALSE,not balanced,not balanced,0.72,1.38,orthorhombic,-2.333,0.037,0.000,16.119,2.424,5.479,5.683,10.354,90.0,90.0,90.0,-9.684
VLaO3,V,La,FALSE,not balanced,not balanced,0.72,1.03,orthorhombic,-2.973,0.275,0.400,14.351,1.388,5.725,5.850,8.571,90.0,90.0,90.0,-6.936
VLiO3,V,Li,FALSE,not balanced,not balanced,0.72,0.76,orthorhombic,-2.164,0.208,0.000,8.948,1.794,4.691,5.019,7.601,90.0,90.0,90.0,-5.697
VLuO3,V,Lu,FALSE,not balanced,not balanced,0.72,0.86,cubic,-1.942,1.354,0.400,14.426,0.000,4.163,4.163,4.163,90.0,90.0,90.0,-4.776
VMgO3,V,Mg,FALSE,not balanced,not balanced,0.72,0.72,cubic,-1.410,1.328,0.201,10.563,0.000,3.752,3.752,3.752,90.0,90.0,90.0,-5.070
VMnO3,V,Mn,FALSE,2,4,0.79,0.53,cubic,-1.521,0.861,1.200,10.509,0.000,3.746,3.746,3.746,90.0,90.0,90.0,-1.571
VMoO3,V,Mo,FALSE,2,4,0.79,0.65,cubic,-1.616,0.668,0.662,11.929,0.000,3.907,3.907,3.907,90.0,90.0,90.0,3.127
VNaO3,V,Na,FALSE,not balanced,not balanced,0.72,1.02,orthorhombic,-2.233,0.242,0.000,12.446,2.123,5.305,5.535,8.478,90.0,90.0,90.0,-10.109
VNbO3,V,Nb,FALSE,2,4,0.79,0.68,cubic,-2.035,0.527,0.693,12.697,0.000,3.989,3.989,3.989,90.0,90.0,90.0,3.495
VNdO3,V,Nd,FALSE,not balanced,not balanced,0.72,0.98,orthorhombic,-2.912,0.284,0.400,13.858,1.358,5.687,5.808,8.392,90.0,90.0,90.0,-5.876
VNiO3,V,Ni,FALSE,2,4,0.79,0.48,cubic,-0.965,1.039,0.220,9.639,0.000,3.639,3.639,3.639,90.0,90.0,90.0,-1.428
VNpO3,V,Np,FALSE,element not in BV,element not in BV,0.72,0.86,orthorhombic,-2.917,0.247,1.200,13.460,1.331,5.548,5.831,8.321,90.0,90.0,90.0,-
VOsO3,V,Os,FALSE,element not in BV,element not in BV,0.72,0.57,cubic,-0.874,0.976,0.505,11.602,0.000,3.871,3.871,3.871,90.0,90.0,90.0,0.230
VPaO3,V,Pa,FALSE,element not in BV,element not in BV,0.72,0.91,cubic,-2.075,0.689,0.799,16.596,0.000,4.362,4.362,4.362,90.0,90.0,90.0,3.863
VPbO3,V,Pb,FALSE,2,4,0.79,0.78,rhombohedral,-1.794,0.288,0.200,16.128,1.394,6.164,6.164,6.164,58.9,58.9,58.9,-
VPdO3,V,Pd,FALSE,2,4,0.79,0.62,cubic,-0.525,1.236,0.482,11.941,0.000,3.908,3.908,3.908,90.0,90.0,90.0,-3.547
VPmO3,V,Pm,FALSE,element not in BV,element not in BV,0.72,0.97,orthorhombic,-2.941,0.275,0.400,13.611,1.406,5.670,5.767,8.324,90.0,90.0,90.0,-6.807
VPrO3,V,Pr,FALSE,2,4,0.79,0.85,orthorhombic,-2.888,0.292,0.400,14.118,1.315,5.723,5.819,8.479,90.0,90.0,90.0,-7.010
VPtO3,V,Pt,FALSE,element not in BV,element not in BV,0.72,0.67,cubic,-0.467,1.271,0.514,12.287,0.000,3.946,3.946,3.946,90.0,90.0,90.0,-2.191
VPuO3,V,Pu,FALSE,element not in BV,element not in BV,0.72,0.83,orthorhombic,-2.850,0.290,1.400,13.196,0.614,5.536,5.782,8.246,90.0,90.0,90.0,-
VRbO3,V,Rb,FALSE,not balanced,not balanced,0.72,1.52,orthorhombic,-2.339,0.029,0.000,17.828,2.477,5.618,5.953,10.660,90.0,90.0,90.0,-19.751
VReO3,V,Re,FALSE,2,4,0.79,0.63,cubic,-1.253,0.831,0.671,11.780,0.000,3.891,3.891,3.891,90.0,90.0,90.0,1.246
VRhO3,V,Rh,FALSE,2,4,0.79,0.60,cubic,-0.750,1.064,0.338,11.669,0.000,3.878,3.878,3.878,90.0,90.0,90.0,-1.777
VRuO3,V,Ru,FALSE,2,4,0.79,0.62,cubic,-0.941,0.944,0.280,11.609,0.000,3.872,3.872,3.872,90.0,90.0,90.0,-0.311
VSbO3,V,Sb,FALSE,2,4,0.79,0.68,cubic,-1.161,0.944,0.693,13.135,0.000,4.035,4.035,4.035,90.0,90.0,90.0,0.871
VScO3,V,Sc,FALSE,not balanced,not balanced,0.72,0.75,cubic,-2.069,1.150,0.402,12.606,0.000,3.980,3.980,3.980,90.0,90.0,90.0,-3.636
VSiO3,V,Si,FALSE,2,4,0.79,0.40,cubic,-2.177,0.596,0.600,8.819,0.000,3.533,3.533,3.533,90.0,90.0,90.0,4.538
VSmO3,V,Sm,FALSE,not balanced,not balanced,0.72,0.96,orthorhombic,-2.955,0.268,0.400,13.425,1.638,5.655,5.740,8.271,90.0,90.0,90.0,-6.477
VSnO3,V,Sn,FALSE,2,4,0.79,0.69,orthorhombic,-1.985,0.223,0.597,11.623,0.000,5.362,5.585,7.763,90.0,90.0,90.0,1.470
VSrO3,V,Sr,FALSE,not balanced,not balanced,0.72,1.18,orthorhombic,-2.723,0.158,0.200,14.899,1.523,5.532,5.639,9.553,90.0,90.0,90.0,-9.981
VTaO3,V,Ta,FALSE,2,4,0.79,0.68,cubic,-2.226,0.509,0.727,12.481,0.000,3.966,3.966,3.966,90.0,90.0,90.0,4.183
VTbO3,V,Tb,FALSE,2,4,0.79,0.76,cubic,-1.580,1.553,0.401,15.806,0.000,4.291,4.291,4.291,90.0,90.0,90.0,-5.874
VTcO3,V,Tc,FALSE,element not in BV,element not in BV,0.72,0.60,cubic,-1.265,0.816,0.668,11.587,0.000,3.869,3.869,3.869,90.0,90.0,90.0,0.559
VTeO3,V,Te,FALSE,2,4,0.79,0.97,cubic,-0.852,1.048,0.674,14.115,0.000,4.133,4.133,4.133,90.0,90.0,90.0,-
VThO3,V,Th,FALSE,2,4,0.79,0.94,cubic,-2.200,1.247,0.601,18.712,0.000,4.540,4.540,4.540,90.0,90.0,90.0,-1.902
